,title,type,issue,date
5411,"President Donald J. Trump Proclaims Memorial Day, May 28, 2018, as a Day of Prayer for Permanent Peace",Proclamations,Other,"May 25, 2018"
5412,Statement by the Press Secretary on the Houthi Missile Strike on a Turkish Wheat Ship,Statements & Releases,Foreign Policy,"May 25, 2018"
5413,President Donald J. Trump Announces Intent to Nominate Personnel to Key Administration Posts,Nominations & Appointments,Other,"May 25, 2018"
5414,That Moon Colony Will Be a Reality Sooner Than You Think,Other,Infrastructure & Technology,"May 25, 2018"
5415,Statement from Vice President Mike Pence on the President’s Signing of Space Policy Directive–2,Other,Other,"May 24, 2018"
5416,"Space Policy Directive-2, Streamlining Regulations on Commercial Use of Space",Presidential Memoranda,Infrastructure & Technology,"May 24, 2018"
5417,Seven Nominations and One Withdrawal Sent to the Senate Today,Nominations & Appointments,Other,"May 24, 2018"
5418,Remarks by President Trump at Pardoning of John Arthur “Jack” Johnson,Remarks,Law & Justice,"May 24, 2018"
5419,"Remarks by President Trump at the Presentation of the Medal of Honor to Master Chief Britt Slabinski, U.S. Navy",Remarks,Other,"May 24, 2018"
5420,Statement from the Press Secretary Regarding the Pardon of John Arthur “Jack” Johnson,Statements & Releases,Law & Justice,"May 24, 2018"
5421,"Remarks by President Trump at Signing of S. 2155, Economic Growth, Regulatory Relief, and Consumer Protection Act",Remarks,Economy & Jobs,"May 24, 2018"
5422,Statement by President Donald J. Trump on S. 2155,Statements & Releases,Economy & Jobs,"May 24, 2018"
5423,President Donald J. Trump Signs S. 2155 into Law,Statements & Releases,Economy & Jobs,"May 24, 2018"
5424,"President Donald J. Trump Supports Regulatory Reforms For Community Banks, Credit Unions, and Consumers",Fact Sheets,Economy & Jobs,"May 24, 2018"
5425,Readout of Vice President Mike Pence’s Call with President of Egypt Abdel Fattah Al Sisi,Statements & Releases,Foreign Policy,"May 24, 2018"
5426,President Donald J. Trump is Reforming and Modernizing American Commercial Space Policy,Fact Sheets,Infrastructure & Technology,"May 24, 2018"
5427,Letter to Chairman Kim Jong Un,Statements & Releases,Foreign Policy,"May 24, 2018"
5428,Statement from the President on Potential National Security Investigation into Automobile Imports,Statements & Releases,National Security & Defense,"May 23, 2018"
5429,President Donald J. Trump Amends Puerto Rico Disaster Declaration,Statements & Releases,Land & Agriculture,"May 23, 2018"
5430,White House Hosts Roundtable Discussion on Leveraging Data as a Strategic Asset,Other,Infrastructure & Technology,"May 23, 2018"
5431,Statement from the Press Secretary on the Senate Passage of the VA MISSION Act,Statements & Releases,Veterans,"May 23, 2018"
5432,Readout of Vice President Mike Pence’s Meeting with Georgian Prime Minister Giorgi Kvirikashvili,Statements & Releases,Foreign Policy,"May 23, 2018"
5433,One Nomination and One Withdrawal Sent to the Senate,Nominations & Appointments,Other,"May 23, 2018"
5434,"Remarks by President Trump at a Roundtable Discussion on Immigration | Bethpage, NY",Remarks,Immigration,"May 23, 2018"
5435,Remarks by Vice President Pence at United States Coast Guard Academy Commencement Ceremony,Remarks,Law & Justice,"May 23, 2018"
5436,President Donald J. Trump is Dedicated to Combating MS-13,Fact Sheets,Immigration,"May 23, 2018"
5437,Remarks by President Trump Before Marine One Departure,Remarks,Other,"May 23, 2018"
5438,Remarks by President Trump at the Susan B. Anthony List 11th Annual Campaign for Life Gala,Remarks,Law & Justice,"May 22, 2018"
5439,"Statement from the Press Secretary on the Move of the Paraguayan Embassy from Tel Aviv to Jerusalem, Israel",Statements & Releases,Foreign Policy,"May 22, 2018"
5440,"Statement from the Press Secretary Regarding Passage of S. 204 – Trickett Wendler, Frank Mongiello, Jordan Mclinn and Matthew Bellina Right to Try Act of 2017",Statements & Releases,Healthcare,"May 22, 2018"
5441,Statement from the Press Secretary Regarding the House of Representatives’ Passage of H.R. 5682 – the FIRST STEP Act,Statements & Releases,Law & Justice,"May 22, 2018"
5442,Statement from President Donald J. Trump on H.R. 3210,Statements & Releases,National Security & Defense,"May 22, 2018"
5443,President Donald J. Trump Signs H.R. 3210 into Law,Statements & Releases,National Security & Defense,"May 22, 2018"
5444,President Donald J. Trump is Defending American Values,Fact Sheets,Law & Justice,"May 22, 2018"
5445,Press Briefing by Press Secretary Sarah Sanders,Press Briefings,Other,"May 22, 2018"
5446,Support for the Trump Administration’s Proposed Title X Rule,News Clips,Law & Justice,"May 22, 2018"
5447,Remarks by President Trump and President Moon of the Republic of Korea Before Bilateral Meeting,Remarks,Foreign Policy,"May 22, 2018"
5448,"Summit, State Visits Will Lead to National Plan to Manage PFAS",Other,Energy & Environment,"May 22, 2018"
5449,Four Nominations Sent to the Senate Today,Nominations & Appointments,Other,"May 21, 2018"
5450,Presidential Message to the Congress of the United States,Statements & Releases,Foreign Policy,"May 21, 2018"
5451,Statement from President Donald J. Trump on the Maduro Regime in Venezuela,Statements & Releases,Foreign Policy,"May 21, 2018"
5452,"President Donald J. Trump Proclaims May 22, 2018, as National Maritime Day",Proclamations,National Security & Defense,"May 21, 2018"
5453,Optimism About Availability of Good Jobs Hits New Heights,News Clips,Economy & Jobs,"May 21, 2018"
5454,Remarks by President Trump Hosting the 2017 NASCAR Cup Series Champion Martin Truex Jr. and Team,Remarks,Other,"May 21, 2018"
5455,President Donald J. Trump Signs S.J.Res. 57 into Law,Statements & Releases,Budget & Spending,"May 21, 2018"
5456,Executive Order Prohibiting Certain Additional Transactions with Respect to Venezuela,Executive Orders,Foreign Policy,"May 21, 2018"
5457,Remarks by President Trump at Swearing-In Ceremony of Gina Haspel as Director of the Central Intelligence Agency,Remarks,Other,"May 21, 2018"
5458,Statement from Vice President Mike Pence on Venezuela’s Elections,Statements & Releases,Foreign Policy,"May 21, 2018"
5459,Trump Administration Stands Behind Ag Producers,Other,Land & Agriculture,"May 21, 2018"
5460,What You Need To Know About The Violent Animals Of MS-13,Other,Law & Justice,"May 21, 2018"
5461,Presidential Message on Cuban Independence Day,Statements & Releases,Other,"May 20, 2018"
5462,Readout of President Donald J. Trump’s Call with President Moon Jae-in of the Republic of Korea,Statements & Releases,Foreign Policy,"May 20, 2018"
5463,Readout of Vice President Mike Pence’s Phone Call with Greek Prime Minister Alexis Tsipras,Statements & Releases,Foreign Policy,"May 19, 2018"
5464,Joint Statement of the United States and China Regarding Trade Consultations,Statements & Releases,Economy & Jobs,"May 19, 2018"
5465,Statement from the Communications Director about First Lady Melania Trump,Statements & Releases,Other,"May 19, 2018"
5466,"President Donald J. Trump Proclaims May 19 through May 25, 2018, as National Safe Boating Week",Proclamations,Land & Agriculture,"May 18, 2018"
5467,"President Donald J. Trump Proclaims May 20 through May 26, 2018, as Emergency Medical Services Week",Proclamations,Healthcare,"May 18, 2018"
5468,"President Donald J. Trump Proclaims May 20 through May 26, 2018, as World Trade Week",Proclamations,Economy & Jobs,"May 18, 2018"
5469,Remarks by Vice President Pence at “Tax Cuts to Put America First” Event,Remarks,Budget & Spending,"May 18, 2018"
5470,Statement from the Press Secretary Regarding the Proposed Title X Family Planning Program Rule from the Department of Health and Human Services,Statements & Releases,Healthcare,"May 18, 2018"
5471,President Donald J. Trump Announces Intent to Nominate Personnel to a Key Administration Post,Nominations & Appointments,Other,"May 18, 2018"
5472,Readout of President Donald J. Trump’s Meeting with United Nations Secretary-General António Guterres,Statements & Releases,Foreign Policy,"May 18, 2018"
5473,President Donald J. Trump Announces Intent to Nominate Personnel to Key Administration Posts,Nominations & Appointments,Other,"May 18, 2018"
5474,Remarks by Vice President Pence at Visit With Members of the Indiana National Guard 38th Infantry Division,Remarks,National Security & Defense,"May 18, 2018"
5475,President Donald J. Trump Amends U.S. Virgin Islands Disaster Declarations,Statements & Releases,Land & Agriculture,"May 18, 2018"
5476,"Presidential Proclamation Honoring the Victims of the Tragedy in Santa Fe, Texas",Proclamations,Other,"May 18, 2018"
5477,Remarks by President Trump at White House Prison Reform Summit,Remarks,Law & Justice,"May 18, 2018"
5478,President Donald J. Trump Supports Legislative Action to Reduce Recidivism in Our Prison System,Fact Sheets,Law & Justice,"May 18, 2018"
5479,Remarks by Vice President Pence at the White House Prison Reform Summit,Remarks,Law & Justice,"May 18, 2018"
5480,Presidential Message to the Congress of the United States,Statements & Releases,Foreign Policy,"May 18, 2018"
5481,Notice Regarding the Continuation of the National Emergency with Respect to the Stabilization of Iraq,Statements & Releases,Foreign Policy,"May 18, 2018"
5482,California’s ‘Sanctuary’ Laws Aren’t Pro-Immigrant—and Local Leaders Are Pushing Back,Other,Immigration,"May 18, 2018"
5483,"President Donald J. Trump Proclaims May 19, 2018, as Armed Forces Day",Proclamations,National Security & Defense,"May 18, 2018"
5484,CEA Report: Returns on Investments in Recidivism-Reducing Programs,Statements & Releases,Law & Justice,"May 18, 2018"
5485,What You Need To Know About The Local Leaders Standing Up To The Sanctuary Policies That Endanger Their Communities,Other,Immigration,"May 18, 2018"
5486,Readout of Discussions with Delegation from China Regarding Trade Relationship,Statements & Releases,Economy & Jobs,"May 17, 2018"
5487,President Donald J. Trump Prioritizes Efficiency In The Federal Government,Fact Sheets,Energy & Environment,"May 17, 2018"
5488,Executive Order Regarding Efficient Federal Operations,Executive Orders,Energy & Environment,"May 17, 2018"
5489,President Donald J. Trump Hosts NATO Secretary General Jens Stoltenberg At The White House,Fact Sheets,Foreign Policy,"May 17, 2018"
5490,Remarks by President Trump and Secretary General Stoltenberg of NATO Before Bilateral Meeting,Remarks,Foreign Policy,"May 17, 2018"
5491,Remarks by President Trump and NATO Secretary General Stoltenberg Before Expanded Bilateral Meeting,Remarks,Foreign Policy,"May 17, 2018"
5492,"Statement from the Press Secretary on the Move of the Guatemalan Embassy from Tel Aviv to Jerusalem, Israel",Statements & Releases,Foreign Policy,"May 17, 2018"
5493,Press Briefing by Press Secretary Sarah Sanders and Acting Secretary of Veterans Affairs Robert Wilkie,Press Briefings,Other,"May 17, 2018"
5494,Presidential Message to the Congress of the United States,Statements & Releases,Foreign Policy,"May 17, 2018"
5495,Presidential Message to the Congress of the United States,Statements & Releases,Foreign Policy,"May 17, 2018"
5496,President Donald J. Trump Announces Intent to Nominate Personnel to Key Administration Post,Nominations & Appointments,Other,"May 17, 2018"
5497,Statement from the Press Secretary Regarding the United States-United Arab Emirates Open Skies Understanding,Statements & Releases,Economy & Jobs,"May 17, 2018"
5498,Statement from the Press Secretary on the House Passage of the VA MISSION Act,Statements & Releases,Veterans,"May 16, 2018"
5499,Remarks by President Trump at a California Sanctuary State Roundtable,Remarks,Immigration,"May 16, 2018"
5500,"Presidential Memorandum for the Secretary of State, Secretary of the Treasury, Secretary of Defense, Secretary of Commerce, and the Director of National Intelligence",Proclamations,Other,"May 16, 2018"
5501,USA Today: “Trump Supporters Across America: The President is Delivering on His Agenda”,News Clips,Other,"May 16, 2018"
5502,Trump Administration Officials to Host Trade Delegation from China,Statements & Releases,Economy & Jobs,"May 16, 2018"
5503,The United States and Uzbekistan: Launching a New Era of Strategic Partnership,Statements & Releases,Foreign Policy,"May 16, 2018"
5504,What You Need To Know About The Community Movement Against Sanctuary Policies,Other,Immigration,"May 16, 2018"
5505,Remarks by President Trump and President Mirziyoyev of Uzbekistan Before Bilateral Meeting,Remarks,Foreign Policy,"May 16, 2018"
5506,Gina Haspel Earned Praise Leading Up To Committee Vote,News Clips,Other,"May 16, 2018"
5507,Statement from the Office of the Vice President,Statements & Releases,Other,"May 15, 2018"
5508,President Donald J. Trump is Enhancing the Effectiveness of Agency Chief Information Officers,Fact Sheets,Infrastructure & Technology,"May 15, 2018"
5509,Executive Order Enhancing the Effectiveness of Agency Chief Information Officers,Executive Orders,Infrastructure & Technology,"May 15, 2018"
5510,Fifteen Nominations and One Withdrawal Sent to the Senate Today,Nominations & Appointments,Other,"May 15, 2018"
5511,President Donald J. Trump Announces Intent to Nominate and Appoint Personnel to Key Administration Posts,Nominations & Appointments,Other,"May 15, 2018"
5512,Remarks by President Trump at the 37th Annual National Peace Officers’ Memorial,Remarks,Law & Justice,"May 15, 2018"
5513,Remarks by Vice President Pence at the 37th Annual National Peace Officers’ Memorial,Remarks,Law & Justice,"May 15, 2018"
5514,Presidential Message on Ramadan,Statements & Releases,Other,"May 15, 2018"
5515,The United States and Israel: A History in Pictures,Other,Foreign Policy,"May 15, 2018"
5516,"At CIA, Gina Haspel Will Make Sure “We Never Have to Relearn Lessons of the Past”",Other,Other,"May 15, 2018"
